## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/aishamehmood/Project_Mutect2/aligned/HG008-N-D_insert_size_histogram.pdf INPUT=/home/aishamehmood/Project_Mutect2/aligned/HG008-N-D_sorted_dedup_bqsr_reads.bam OUTPUT=/home/aishamehmood/Project_Mutect2/aligned/HG008-N-D_insert_size_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jan 19 00:24:46 AST 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
419	389	62	2	224621029	427.697439	98.640256	982640	FR	25	47	73	97	125	157	195	243	323	401	595			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	13
3	7
4	7
5	9
6	12
7	7
8	8
9	10
10	5
11	12
12	10
13	6
14	9
15	8
16	13
17	3
18	11
19	11
20	23
21	9
22	11
23	4
24	8
25	7
26	6
27	9
28	5
29	11
30	11
31	8
32	3
33	11
34	11
35	9
36	10
37	5
38	13
39	9
40	8
41	12
42	14
43	12
44	12
45	13
46	10
47	13
48	17
49	12
50	8
51	12
52	22
53	17
54	21
55	14
56	13
57	16
58	16
59	17
60	12
61	14
62	17
63	18
64	24
65	21
66	13
67	15
68	19
69	15
70	21
71	25
72	14
73	20
74	21
75	20
76	16
77	17
78	17
79	16
80	27
81	27
82	18
83	32
84	26
85	23
86	23
87	22
88	28
89	22
90	22
91	25
92	27
93	25
94	21
95	26
96	19
97	18
98	18
99	26
100	24
101	24
102	19
103	25
104	17
105	25
106	31
107	26
108	22
109	29
110	26
111	25
112	34
113	22
114	29
115	35
116	29
117	26
118	37
119	31
120	29
121	31
122	29
123	47
124	33
125	44
126	26
127	34
128	27
129	39
130	36
131	38
132	31
133	29
134	50
135	48
136	30
137	51
138	48
139	55
140	42
141	50
142	46
143	43
144	44
145	37
146	42
147	50
148	44
149	50
150	52
151	51
152	59
153	52
154	42
155	65
156	50
157	46
158	74
159	61
160	69
161	76
162	67
163	73
164	75
165	52
166	68
167	67
168	81
169	68
170	101
171	68
172	84
173	78
174	83
175	87
176	89
177	87
178	85
179	97
180	88
181	108
182	116
183	113
184	95
185	99
186	96
187	108
188	118
189	104
190	143
191	120
192	136
193	148
194	151
195	154
196	151
197	139
198	127
199	159
200	166
201	148
202	168
203	160
204	178
205	171
206	182
207	171
208	188
209	215
210	191
211	176
212	193
213	206
214	186
215	222
216	239
217	222
218	240
219	217
220	223
221	276
222	254
223	308
224	271
225	278
226	283
227	307
228	306
229	300
230	309
