## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/home/aishamehmood/Project_Mutect2/aligned/HG008-T_insert_size_histogram.pdf INPUT=/home/aishamehmood/Project_Mutect2/aligned/HG008-T_sorted_dedup_bqsr_reads.bam OUTPUT=/home/aishamehmood/Project_Mutect2/aligned/HG008-T_insert_size_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jan 19 00:26:12 AST 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
443	429	67	2	208469282	452.933935	105.392977	985099	FR	27	51	79	105	135	169	209	259	343	425	633			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	2
3	8
4	9
5	11
6	12
7	3
8	9
9	9
10	9
11	6
12	11
13	5
14	6
15	5
16	6
17	13
18	10
19	4
20	9
21	7
22	7
23	8
24	9
25	5
26	3
27	14
28	4
29	10
30	9
31	11
32	12
33	9
34	6
35	10
36	5
37	10
38	10
39	7
40	13
41	10
42	8
43	10
44	10
45	9
46	8
47	18
48	9
49	9
50	15
51	20
52	13
53	9
54	7
55	9
56	20
57	15
58	16
59	17
60	23
61	15
62	16
63	17
64	16
65	10
66	15
67	16
68	22
69	11
70	21
71	19
72	19
73	18
74	19
75	15
76	26
77	16
78	16
79	18
80	15
81	17
82	23
83	29
84	20
85	18
86	26
87	17
88	36
89	23
90	22
91	14
92	25
93	20
94	15
95	23
96	23
97	22
98	25
99	29
100	16
101	17
102	19
103	28
104	21
105	23
106	24
107	21
108	29
109	17
110	22
111	25
112	25
113	22
114	18
115	25
116	21
117	29
118	36
119	21
120	25
121	32
122	26
123	30
124	20
125	24
126	20
127	28
128	18
129	32
130	28
131	30
132	28
133	35
134	24
135	28
136	31
137	23
138	23
139	28
140	31
141	38
142	31
143	33
144	31
145	16
146	29
147	33
148	35
149	28
150	33
151	37
152	25
153	44
154	42
155	36
156	39
157	41
158	35
159	41
160	34
161	50
162	31
163	39
164	36
165	27
166	34
167	40
168	52
169	45
170	39
171	39
172	54
173	45
174	57
175	52
176	57
177	57
178	58
179	40
180	60
181	59
182	48
183	56
184	71
185	68
186	70
187	64
188	51
189	84
190	74
191	78
192	78
193	78
194	89
195	72
196	93
197	84
198	93
199	93
200	98
201	102
202	95
203	97
204	96
205	96
206	130
207	113
208	120
209	100
210	110
211	137
212	125
213	131
214	124
215	136
216	141
217	158
218	154
219	154
220	158
221	161
222	170
223	166
224	176
225	194
226	184
227	215
228	184
229	221
